price,distance,engine,city_mileage,highway_mileage
"35,991","24,190 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
"66,998","10,231 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"23,372","35,860 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
,,,,
"19,089","35,839 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
"30,877","43,777 miles- Low Mileage",3.6L 6-Cylinder Gas Engine,18 City,29 Highway
"29,592","98,107 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"28,988","53,001 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"51,860","2,664 miles",6.2L 8-Cylinder Gas Engine,18 City,21 Highway
,,,,
"63,992","14,819 miles",6.2L 8-Cylinder Gas Engine,14 City,17 Highway
,,,,
"30,299","50,906 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"21,996","44,544 miles",5.7L 8-Cylinder Gas Engine,17 City,26 Highway
"33,998","35,660 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
,,,,
,,,,
"23,777","84,588 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"58,988","41,846 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"76,997","11,563 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"36,900","29,800 miles",3.6L 6-Cylinder Gas Engine,16 City,18 Highway
,,,,
"36,799","12,342 miles",3.6L 6-Cylinder Gas Engine,19 City,27 Highway
,,,,
"21,777","37,071 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,31 Highway
,,,,
,,,,
,,,,
,,,,
"54,000",83 miles,6.2L 8-Cylinder Gas Engine,16 City,26 Highway
,,,,
"30,897","48,303 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"43,499","23,239 miles",5.3L 8-Cylinder Gas Engine,19 City,22 Highway
,,,,
,,,,
"9,308","76,848 miles",1.8L 4-Cylinder Gas Engine,24 City,34 Highway
"34,989","44,133 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
,,,,
"86,508","2,764 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"9,988","131,691 miles",5.3L 8-Cylinder Flexible Fuel Engine,14 City,20 Highway
,,,,
"17,425","23,062 miles",1.4L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"52,889","28,417 miles- Low Mileage",3.0L 6-Cylinder Turbo Diesel Engine,16 City,22 Highway
,,,,
,,,,
"26,999","10,414 miles",2.0L 4-Cylinder Turbo Gas Engine,19 City,29 Highway
"20,000","106,774 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"22,000","52,403 miles",3.6L 6-Cylinder Gas Engine,19 City,29 Highway
"28,500","82,893 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
,,,,
,,,,
"14,222","47,876 miles",1.4L 4-Cylinder Gas Engine,30 City,38 Highway
"32,217","58,252 miles",3.6L 6-Cylinder Gas Engine,17 City,25 Highway
"36,740","52,135 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
,,,,
"38,990","12,633 miles",2.7L 4-Cylinder Turbo Gas Engine,17 City,20 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"70,700","15,837 miles",6.2L 8-Cylinder Gas Engine,14 City,19 Highway
"36,979","23,416 miles",5.3L 8-Cylinder Gas Engine,15 City,21 Highway
,,,,
"48,883","56,590 miles",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
,,,,
"35,977","20,948 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,27 Highway
,,,,
"62,477","3,851 miles",3.0L 6-Cylinder Turbo Diesel Engine,16 City,20 Highway
,,,,
,,,,
,,,,
,,,,
,,,,
"23,688","33,701 miles- Low Mileage",2.0L 4-Cylinder Turbo Gas Engine,22 City,30 Highway
"51,988","14,644 miles",7.0L 8-Cylinder Gas Engine,15 City,24 Highway
"85,460","8,210 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"168,990","15,454 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,19 Highway
"40,995","46,199 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,17 City,29 Highway
"64,299","10,180 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,14 City,17 Highway
"35,995","56,850 miles",6.2L 8-Cylinder Supercharged Gas Engine,14 City,19 Highway
"27,990","93,131 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"14,495","129,843 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"40,985","28,475 miles",4.3L 6-Cylinder Gas Engine,14 City,18 Highway
"26,889","27,867 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"19,995","60,781 miles",1.5L 4-Cylinder Turbo Gas Engine,25 City,30 Highway
"28,833","30,544 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
"28,945","88,097 miles",5.3L 8-Cylinder Flexible Fuel Engine,16 City,23 Highway
"24,995","95,277 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
"31,595","43,662 miles- Low Mileage",4.3L 6-Cylinder Gas Engine,16 City,21 Highway
,,,,
,,,,
"53,790","3,816 miles",5.3L 8-Cylinder Gas Engine,18 City,21 Highway
,,,,
,,,,
,,,,
